DiseaseID,DiseaseName,DiseaseDescription,SlimMapping,PathwayNames
MESH:D054882,Antley-Bixler Syndrome Phenotype,"An inherited condition characterized by multiple malformations of CARTILAGE and bone including CRANIOSYNOSTOSIS; midface hypoplasia; radiohumeral SYNOSTOSIS; CHOANAL ATRESIA; femoral bowing; neonatal fractures; and multiple joint CONTRACTURES and, occasionally, urogenital, gastrointestinal or cardiac defects. In utero exposure to FLUCONAZOLE, as well as mutations in at least two separate genes are associated with this condition - POR (encoding P450 (cytochrome) oxidoreductase (NADPH-FERRIHEMOPROTEIN REDUCTASE)) and FGFR2 (encoding FIBROBLAST GROWTH FACTOR RECEPTOR 2).","['Congenital abnormality', 'Genetic disease (inborn)', 'Metabolic disease', 'Musculoskeletal disease']",VEGFR2 mediated cell proliferation
MESH:D001002,Anuria,"Absence of urine formation. It is usually associated with complete bilateral ureteral (URETER) obstruction, complete lower urinary tract obstruction, or unilateral ureteral obstruction when a solitary kidney is present.","['Urogenital disease (female)', 'Urogenital disease (male)']",Vesicle-mediated transport
MESH:D001006,"Anus, Imperforate","A congenital abnormality characterized by the persistence of the anal membrane, resulting in a thin membrane covering the normal ANAL CANAL. Imperforation is not always complete and is treated by surgery in infancy. This defect is often associated with NEURAL TUBE DEFECTS; MENTAL RETARDATION; and DOWN SYNDROME.","['Congenital abnormality', 'Digestive system disease']",Signal Transduction
MESH:D001005,Anus Neoplasms,Tumors or cancer of the ANAL CANAL.,"['Cancer', 'Digestive system disease']",Tuberculosis
MESH:D001008,Anxiety Disorders,Persistent and disabling ANXIETY.,['Mental disorder'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D001010,"Anxiety, Separation",Anxiety experienced by an individual upon separation from a person or object of particular significance to the individual.,['Mental disorder'],Signal Transduction
MESH:D001014,Aortic Aneurysm,An abnormal balloon- or sac-like dilatation in the wall of AORTA.,['Cardiovascular disease'],Wnt signaling pathway
MESH:D017544,"Aortic Aneurysm, Abdominal","An abnormal balloon- or sac-like dilatation in the wall of the ABDOMINAL AORTA which gives rise to the visceral, the parietal, and the terminal (iliac) branches below the aortic hiatus at the diaphragm.",['Cardiovascular disease'],Vesicle-mediated transport
MESH:D017545,"Aortic Aneurysm, Thoracic",An abnormal balloon- or sac-like dilatation in the wall of the THORACIC AORTA. This proximal descending portion of aorta gives rise to the visceral and the parietal branches above the aortic hiatus at the diaphragm.,['Cardiovascular disease'],Vascular smooth muscle contraction
MESH:D001018,Aortic Diseases,Pathological processes involving any part of the AORTA.,['Cardiovascular disease'],Tryptophan metabolism
MESH:D000784,Aortic Dissection,"A tear in the inner layer of the AORTA leading to interstitial HEMORRHAGE, and splitting (dissecting) of the aortic TUNICA MEDIA layer. It typically begins with a tear in the TUNICA INTIMA layer.",['Cardiovascular disease'],Wnt signaling pathway
MESH:D001019,Aortic Rupture,"The tearing or bursting of the wall along any portion of the AORTA, such as thoracic or abdominal. It may result from the rupture of an aneurysm or it may be due to TRAUMA.","['Cardiovascular disease', 'Wounds and injuries']",Ubiquinone and other terpenoid-quinone biosynthesis
MESH:D001022,Aortic Valve Insufficiency,"Pathological condition characterized by the backflow of blood from the ASCENDING AORTA back into the LEFT VENTRICLE, leading to regurgitation. It is caused by diseases of the AORTIC VALVE or its surrounding tissue (aortic root).",['Cardiovascular disease'],YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D001037,Aphasia,"A cognitive disorder marked by an impaired ability to comprehend or express language in its written or spoken form. This condition is caused by diseases which affect the language areas of the dominant hemisphere. Clinical features are used to classify the various subtypes of this condition. General categories include receptive, expressive, and mixed forms of aphasia.","['Nervous system disease', 'Signs and symptoms']",Transcriptional misregulation in cancer
MESH:D001049,Apnea,A transient absence of spontaneous respiration.,"['Respiratory tract disease', 'Signs and symptoms']","Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"
MESH:D001139,Arnold-Chiari Malformation,"A group of congenital malformations involving the brainstem, cerebellum, upper spinal cord, and surrounding bony structures. Type II is the most common, and features compression of the medulla and cerebellar tonsils into the upper cervical spinal canal and an associated MENINGOMYELOCELE. Type I features similar, but less severe malformations and is without an associated meningomyelocele. Type III has the features of type II with an additional herniation of the entire cerebellum through the bony defect involving the foramen magnum, forming an ENCEPHALOCELE. Type IV is a form a cerebellar hypoplasia. Clinical manifestations of types I-III include TORTICOLLIS; opisthotonus; HEADACHE; VERTIGO; VOCAL CORD PARALYSIS; APNEA; NYSTAGMUS, CONGENITAL; swallowing difficulties; and ATAXIA. (From Menkes, Textbook of Child Neurology, 5th ed, p261; Davis, Textbook of Neuropathology, 2nd ed, pp236-46)","['Congenital abnormality', 'Nervous system disease']",Oncogene Induced Senescence
MESH:D001145,"Arrhythmias, Cardiac","Any disturbances of the normal rhythmic beating of the heart or MYOCARDIAL CONTRACTION. Cardiac arrhythmias can be classified by the abnormalities in HEART RATE, disorders of electrical impulse generation, or impulse conduction.","['Cardiovascular disease', 'Pathology (process)']",Voltage gated Potassium channels
MESH:D020261,Arsenic Poisoning,"Disorders associated with acute or chronic exposure to compounds containing ARSENIC (ARSENICALS) which may be fatal. Acute oral ingestion is associated with gastrointestinal symptoms and an encephalopathy which may manifest as SEIZURES, mental status changes, and COMA. Chronic exposure is associated with mucosal irritation, desquamating rash, myalgias, peripheral neuropathy, and white transverse (Mees) lines in the fingernails. (Adams et al., Principles of Neurology, 6th ed, p1212)",['Nervous system disease'],Wnt signaling pathway
MESH:D001157,Arterial Occlusive Diseases,Pathological processes which result in the partial or complete obstruction of ARTERIES. They are characterized by greatly reduced or absence of blood flow through these vessels. They are also known as arterial insufficiency.,['Cardiovascular disease'],Transcriptional misregulation in cancer
MESH:D001161,Arteriosclerosis,"Thickening and loss of elasticity of the walls of ARTERIES of all sizes. There are many forms classified by the types of lesions and arteries involved, such as ATHEROSCLEROSIS with fatty lesions in the ARTERIAL INTIMA of medium and large muscular arteries.",['Cardiovascular disease'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D001165,Arteriovenous Malformations,"Abnormal formation of blood vessels that shunt arterial blood directly into veins without passing through the CAPILLARIES. They usually are crooked, dilated, and with thick vessel walls. A common type is the congenital arteriovenous fistula. The lack of blood flow and oxygen in the capillaries can lead to tissue damage in the affected areas.","['Cardiovascular disease', 'Congenital abnormality']",VEGFR2 mediated cell proliferation
MESH:D001167,Arteritis,INFLAMMATION of any ARTERIES.,['Cardiovascular disease'],Xenobiotics
MESH:D018771,Arthralgia,Pain in the joint.,"['Musculoskeletal disease', 'Signs and symptoms']",Terpenoid backbone biosynthesis
MESH:D001168,Arthritis,Acute or chronic inflammation of JOINTS.,['Musculoskeletal disease'],Viral carcinogenesis
MESH:D001169,"Arthritis, Experimental","ARTHRITIS that is induced in experimental animals. Immunological methods and infectious agents can be used to develop experimental arthritis models. These methods include injections of stimulators of the immune response, such as an adjuvant (ADJUVANTS, IMMUNOLOGIC) or COLLAGEN.",['Musculoskeletal disease'],ZBP1(DAI) mediated induction of type I IFNs
MESH:D015210,"Arthritis, Gouty","Arthritis, especially of the great toe, as a result of gout. Acute gouty arthritis often is precipitated by trauma, infection, surgery, etc. The initial attacks are usually monoarticular but later attacks are often polyarticular. Acute and chronic gouty arthritis are associated with accumulation of MONOSODIUM URATE in and around affected joints.","['Genetic disease (inborn)', 'Metabolic disease', 'Musculoskeletal disease']",Signal Transduction
MESH:D001170,"Arthritis, Infectious",Arthritis caused by BACTERIA; RICKETTSIA; MYCOPLASMA; VIRUSES; FUNGI; or PARASITES.,['Musculoskeletal disease'],Type II diabetes mellitus
MESH:D001171,"Arthritis, Juvenile","Arthritis in children, with onset before 16 years of age. The terms juvenile rheumatoid arthritis (JRA) and juvenile idiopathic arthritis (JIA) refer to classification systems for chronic arthritis in children. Only one subtype of juvenile arthritis (polyarticular-onset, rheumatoid factor-positive) clinically resembles adult rheumatoid arthritis and is considered its childhood equivalent.","['Connective tissue disease', 'Immune system disease', 'Musculoskeletal disease']",Wnt signaling pathway
MESH:D015535,"Arthritis, Psoriatic","A type of inflammatory arthritis associated with PSORIASIS, often involving the axial joints and the peripheral terminal interphalangeal joints. It is characterized by the presence of HLA-B27-associated SPONDYLARTHROPATHY, and the absence of rheumatoid factor.","['Musculoskeletal disease', 'Skin disease']",YAP1- and WWTR1 (TAZ)-stimulated gene expression
MESH:D001172,"Arthritis, Rheumatoid","A chronic systemic disease, primarily of the joints, marked by inflammatory changes in the synovial membranes and articular structures, widespread fibrinoid degeneration of the collagen fibers in mesenchymal tissues, and by atrophy and rarefaction of bony structures. Etiology is unknown, but autoimmune mechanisms have been implicated.","['Connective tissue disease', 'Immune system disease', 'Musculoskeletal disease']",ZBP1(DAI) mediated induction of type I IFNs
MESH:D001176,Arthrogryposis,Persistent flexure or contracture of a joint.,"['Congenital abnormality', 'Musculoskeletal disease']",Transmission across Chemical Synapses
MESH:D001195,Asbestosis,"A form of pneumoconiosis caused by inhalation of asbestos fibers which elicit potent inflammatory responses in the parenchyma of the lung. The disease is characterized by interstitial fibrosis of the lung, varying from scattered sites to extensive scarring of the alveolar interstitium.","['Occupational disease', 'Respiratory tract disease']",Vesicle-mediated transport
MESH:D001201,Ascites,Accumulation or retention of free fluid within the peritoneal cavity.,['Pathology (process)'],Taste transduction
MESH:D020817,Asperger Syndrome,"A disorder beginning in childhood whose essential features are persistent impairment in reciprocal social communication and social interaction, and restricted, repetitive patterns of behavior, interests, or activities. These symptoms may limit or impair everyday functioning. (From DSM-5)",['Mental disorder'],Transmission across Chemical Synapses
MESH:D001228,Aspergillosis,Infections with fungi of the genus ASPERGILLUS.,['Bacterial infection or mycosis'],Tuberculosis
MESH:D001237,Asphyxia,"A pathological condition caused by lack of oxygen, manifested in impending or actual cessation of life.","['Pathology (process)', 'Wounds and injuries']",Organelle biogenesis and maintenance
MESH:D001238,Asphyxia Neonatorum,"Respiratory failure in the newborn. (Dorland, 27th ed)",['Infant-newborn disease'],Wnt signaling pathway
MESH:D001247,Asthenia,"Clinical sign or symptom manifested as debility, or lack or loss of strength and energy.",['Signs and symptoms'],VEGFR2 mediated cell proliferation
MESH:D053627,Asthenozoospermia,A condition in which the percentage of motile sperm is abnormally low.,['Urogenital disease (male)'],Transcriptional misregulation in cancer
